"farmer jacks"	"Farmer Jacks"	"Food:Groceries"
"farmers n w life ins"	"Farmers Insurance Group"	"Insurance"
"fazoli s"	"Fazoli's"	"Food:Dining out"
"federal express"	"FedEx"	"Mail and Paper Work"
"fedex"	"FedEx"	"Mail and Paper Work"
"fiesta mart"	"Fiesta"	"Food:Groceries"
"fina"	"Fina"	"Automobile:Maintenance"
"firestone"	"Firestone"	"Automobile:Maintenance"
"first usa bank epay"	"first usa bank epay"	"Bills:Credit Card Payment"
"first usa card online pmt"	"first usa card online pmt"	"Bills:Credit Card Payment"
"first watch"	"First Watch"	"Food:Dining out"
"firstar atm"	"ATM"	"Cash Withdrawal"
"fit hour fitness"	"Fitness"	"Leisure:Sporting Events"
"fleet credit crd ease epay"	"Fleet credit epay"	"Bills:Credit Card Payment"
"fleet mortgage online pmt"	"Fleet mortgage online pmt"	"Bills:Mortgage Payment"
"florida power"	"FPL"	"Bills:Electricity"
"flowers com"	"Flowers.com"	"Gifts"
"flying j"	"Flying J"	"Automobile:Gasoline"
"food emporium"	"The Food Emporium"	"Food:Groceries"
"food less"	"Food 4 Less"	"Food:Groceries"
"food lion"	"Food Lion"	"Food:Groceries"
"food mart"	"Food Mart"	"Food:Groceries"
"food maxx"	"Food Maxx"	"Food:Groceries"
"food town"	"Foodtown"	"Food:Groceries"
"food world"	"Food World"	"Food:Groceries"
"foot locker"	"Foot Locker"	"Clothing"
"ford credit fmcc"	"Ford"	"Automobile:Car payment"
"ford credit pay paybyphone"	"Ford"	"Automobile:Car payment"
"ford credit rcl fmcc"	"Ford"	"Automobile:Car payment"
"ford motor credi"	"Ford"	"Automobile:Car payment"
"ford motor credit"	"Ford"	"Automobile:Car payment"
"ford mtr chgo online pmt"	"Ford"	"Automobile:Car payment"
"foreign curr conv fee"	"foreign curr conv fee"	"Bank Charges:Service charge"
"four seasons hotel"	"Four Seasons hotel"	"Vacation:Lodging"
"franklin covey"	"Franklin Covey"	"Business Expense"
"fred meyer"	"FredMeyer"	"Food:Groceries"
"fresh choice"	"Fresh Choice"	"Food:Dining out"
"friendly restaurant"	"Friendly's"	"Food:Dining out"
"friendly s rest"	"Friendly's"	"Food:Dining out"
"friendlys rest"	"Friendly's"	"Food:Dining out"
"fry s electronics"	"Frys.com"	"Electronics"
"fry s food"	"Fry's food stores"	"Food:Groceries"
"fry s fuel center"	"Fry's fuel center"	"Automobile:Gasoline"
"frys food drg"	"Fry's food stores"	"Healthcare"
"frys food"	"Fry's food stores"	"Food:Groceries"
"fuddruckers"	"Fuddruckers"	"Food:Dining out"
"funds transfer"	"funds transfer"	"Bills:Credit Card Payment"
"galyan s"	"Galyans"	"Clothing"
"gap"	"GAP"	"Clothing"
"gap kids"	"GAP"	"Clothing"
"gap outlet"	"GAP"	"Clothing"
"geico"	"Geico"	"Automobile:Insurance"
"general cinema"	"General Cinema"	"Leisure:Movies and Video Rentals"
"georgia power"	"GeorgiaPower"	"Bills:Electricity"
"giant eagle"	"Giant Eagle"	"Food:Groceries"
"giant food"	"Giant food"	"Food:Groceries"
"giant of maryl"	"Giant of Maryland"	"Food:Groceries"
"gm card online pmt"	"GM"	"Bills:Credit Card Payment"
"gmac mortgage"	"GMAC"	"Bills:Mortgage Payment"
"gmac"	"GMAC"	"Bills:Mortgage Payment"
"gnc"	"GNC"	"Personal Care"
"golden corral"	"Golden Corral"	"Food:Groceries"
"golden dragon"	"Golden Dragon"	"Food:Dining out"
"good guys"	"Good Guys"	"Leisure:Entertaining"
"goody s"	"Goody's"	"Clothing"
"goodyear auto"	"Goodyear"	"Automobile: Maintenance"
"goodyear tire"	"Goodyear"	"Automobile: Maintenance"
"great clips"	"Great Clips"	"Personal Care"
"green valley"	"Green Valley"	"Personal Care"
"guitar center"	"Guitar Center"	"Leisure:Entertaining"
"gymboree"	"Gymboree"	"Clothing"
"h e b"	"H-E-B"	"Healthcare"
"h e b gas station"	"H-E-B"	"Automobile:Gasoline"
"hair cuttery"	"Hair Cuttery"	"Personal Care"
"half com"	"half.com"	"Leisure"
"hampton inn"	"Hampton Inn"	"Vacation:Lodging"
"harris teeter"	"Harris Teeter"	"Food:Groceries"
"hecht s"	"Hecht's"	"Clothing"
"hertz"	"Hertz"	"Vacation:Travel"
"hess"	"Hess"	"Automobile:Gasoline"
"hilton hotels"	"Hilton"	"Vacation:Lodging"
"hobby lobby"	"Hobby Lobby"	"Leisure:Hobbies"
"holiday inn"	"Holiday Inn"	"Vacation:Lodging"
"holiday market"	"Holiday Market"	"Food:Groceries"
"holiday stationstore"	"Holiday"	"Automobile:Gasoline"
"hollywd vid"	"Hollywood Video"	"Leisure:Movies and Video Rentals"
"home depot"	"Home Depot"	"Household"
"home shop"	"HSN"	"Household"
"home shopping network pymt"	"HSN"	"Household"
"hometown buffet"	"Hometown Buffet"	"Food:Dining out"
"honor pos purchaseatm trans"	"ATM"	"Bills:Credit Card Payment"
"honor star atm withdrawal"	"ATM"	"Cash Withdrawal"
"honor star pos withdrawal"	"honor star pos withdrawal"	"Cash Withdrawal"
"hooter"	"Hooters"	"Food:Dining out"
"host intl"	"host intl"	"Bills:Internet Service"
"host marriott"	"Marriott"	"Vacation:Travel"
